time;gFx;gFy;gFz;TgF
08:32:39:9890;1,0126;-0,1318;0,0208;1,001
08:32:39:9930;0,9995;-0,1292;0,0251;0,987
08:32:39:9970;0,9896;-0,1606;0,0344;0,982
08:32:40:0000;0,9649;-0,2148;0,0592;0,969
08:32:40:0030;0,9235;-0,2840;0,0799;0,948
08:32:40:0060;0,8818;-0,3581;0,0820;0,934
08:32:40:0100;0,8606;-0,4061;0,0741;0,933
08:32:40:0130;0,8530;-0,4244;0,0520;0,933
08:32:40:0150;0,8584;-0,4251;0,0253;0,937
08:32:40:0180;0,8751;-0,4134;-0,0032;0,947
08:32:40:0200;0,8955;-0,3987;-0,0478;0,960
08:32:40:0280;0,8914;-0,3866;-0,0942;0,955
08:32:40:0300;0,9131;-0,3309;-0,1304;0,959
08:32:40:0330;0,9485;-0,2812;-0,1374;0,978
08:32:40:0350;0,9842;-0,2551;-0,1372;1,005
08:32:40:0370;0,9984;-0,2282;-0,1288;1,012
08:32:40:0410;1,0260;-0,2183;-0,1223;1,035
08:32:40:0430;1,0592;-0,2160;-0,1396;1,069
08:32:40:0480;1,0846;-0,2169;-0,1636;1,098
08:32:40:0500;1,1129;-0,2301;-0,1887;1,132
08:32:40:0510;1,1217;-0,2540;-0,2253;1,152
08:32:40:0530;1,0847;-0,2875;-0,2529;1,130
08:32:40:0590;1,0122;-0,3101;-0,2496;1,068
08:32:40:0640;0,9745;-0,3221;-0,2331;1,032
08:32:40:0690;0,9672;-0,3250;-0,2213;1,024
08:32:40:0860;0,9469;-0,3182;-0,2398;1,007
08:32:40:0900;0,9078;-0,3126;-0,2675;0,977
08:32:40:0930;0,8752;-0,3077;-0,2790;0,949
08:32:40:0950;0,8564;-0,2960;-0,2761;0,928
08:32:40:0980;0,8610;-0,2900;-0,2747;0,930
08:32:40:1020;0,8567;-0,2983;-0,2826;0,931
08:32:40:1040;0,8327;-0,3273;-0,3044;0,926
08:32:40:1190;0,7945;-0,3652;-0,3355;0,918
08:32:40:1230;0,7607;-0,4087;-0,3750;0,923
08:32:40:1260;0,7497;-0,4471;-0,4067;0,945
08:32:40:1290;0,7587;-0,4633;-0,4216;0,966
08:32:40:1310;0,7878;-0,4465;-0,4348;0,987
08:32:40:1330;0,8193;-0,4072;-0,4631;1,008
08:32:40:1390;0,8302;-0,3666;-0,4903;1,014
08:32:40:1440;0,8413;-0,3394;-0,5029;1,020
08:32:40:1490;0,8304;-0,3406;-0,5121;1,016
08:32:40:1660;0,8419;-0,3283;-0,5082;1,020
08:32:40:1700;0,8802;-0,3085;-0,4591;1,022
08:32:40:1730;0,9338;-0,2770;-0,3999;1,034
08:32:40:1750;0,9691;-0,2467;-0,3687;1,047
08:32:40:1780;0,9863;-0,2476;-0,3760;1,065
08:32:40:1810;0,9836;-0,2657;-0,4148;1,081
08:32:40:1980;0,9542;-0,2915;-0,4495;1,076
08:32:40:2020;0,9085;-0,3166;-0,4885;1,061
08:32:40:2060;0,8642;-0,3282;-0,5230;1,045
08:32:40:2080;0,8211;-0,3116;-0,5338;1,011
08:32:40:2100;0,7847;-0,3109;-0,5269;0,978
08:32:40:2120;0,7533;-0,3250;-0,5162;0,953
08:32:40:2150;0,7049;-0,3209;-0,5212;0,918
08:32:40:2200;0,6878;-0,3452;-0,5291;0,918
08:32:40:2240;0,6692;-0,3868;-0,5239;0,918
08:32:40:2290;0,6561;-0,4066;-0,5124;0,911
08:32:40:2340;0,6455;-0,4246;-0,5029;0,906
08:32:40:2390;0,6441;-0,4394;-0,5115;0,917
08:32:40:2440;0,6436;-0,4587;-0,5424;0,943
08:32:40:2500;0,6481;-0,4721;-0,5868;0,979
08:32:40:2580;0,6381;-0,4648;-0,6318;0,997
08:32:40:2610;0,6211;-0,4270;-0,6856;1,006
08:32:40:2660;0,6256;-0,3891;-0,7354;1,028
08:32:40:2710;0,6477;-0,3652;-0,7643;1,054
08:32:40:2750;0,6795;-0,3494;-0,7552;1,061
08:32:40:2940;0,7224;-0,3275;-0,7353;1,068
08:32:40:2990;0,7568;-0,2821;-0,7115;1,062
08:32:40:3010;0,7893;-0,2548;-0,7274;1,089
08:32:40:3040;0,8074;-0,2551;-0,7537;1,120
08:32:40:3260;0,7961;-0,2681;-0,7811;1,133
08:32:40:3330;0,7765;-0,2894;-0,8145;1,149
08:32:40:3370;0,7518;-0,3234;-0,8793;1,189
08:32:40:3410;0,7224;-0,3609;-0,9345;1,223
08:32:40:3450;0,6875;-0,4119;-0,9632;1,242
08:32:40:3480;0,6387;-0,4571;-0,9494;1,221
08:32:40:3500;0,5570;-0,4755;-0,8559;1,116
08:32:40:3540;0,5010;-0,4758;-0,7459;1,006
08:32:40:3570;0,4884;-0,4880;-0,6376;0,928
08:32:40:3600;0,5046;-0,5039;-0,5513;0,888
08:32:40:3640;0,5355;-0,4971;-0,4890;0,865
08:32:40:3680;0,5727;-0,4741;-0,4587;0,858
08:32:40:3710;0,6000;-0,4507;-0,4745;0,872
08:32:40:3740;0,5973;-0,4451;-0,4983;0,881
08:32:40:3780;0,6047;-0,4402;-0,5393;0,907
08:32:40:3810;0,6279;-0,4285;-0,5729;0,937
08:32:40:3830;0,6636;-0,4202;-0,6099;0,980
08:32:40:3850;0,7011;-0,3965;-0,6311;1,009
08:32:40:3900;0,7332;-0,3825;-0,6469;1,035
08:32:40:3950;0,7534;-0,3682;-0,6607;1,053
08:32:40:4000;0,7622;-0,3548;-0,6696;1,060
08:32:40:4280;0,7512;-0,3453;-0,7032;1,071
08:32:40:4360;0,7352;-0,3456;-0,7474;1,090
08:32:40:4400;0,7170;-0,3691;-0,7617;1,096
08:32:40:4440;0,6886;-0,3857;-0,7460;1,073
08:32:40:4480;0,6604;-0,4099;-0,7324;1,055
08:32:40:4570;0,6565;-0,4612;-0,7410;1,079
