167;248;-226
357;606;202
364;340;132
54;44;-166
256;-312;-92
503;-615;-256
-286;-164;91
-833;-11;-310
-54;217;296
189;-139;-679
359;196;389
-504;270;-76
157;-20;-211
36;-211;271
201;-387;-155
-143;-278;-200
18;-61;282
-182;200;300
-18;205;-593
191;290;34
-38;138;-24
-320;142;108
-261;-105;235
181;-466;-703
328;-501;-569
-302;-226;609
-376;204;471
-72;109;-786
303;41;-279
-91;189;461
-365;64;48
20;-37;57
350;-261;-233
-63;-374;-542
-231;-20;124
-240;38;579
222;211;53
-327;-154;-1402
-489;-71;-193
203;3;879
359;-47;-101
97;-185;-679
-259;-150;102
207;-274;-184
354;-284;-304
-344;46;526
-438;380;396
-163;326;-412
304;-45;-389
335;174;917
-290;-302;-536
-271;-181;-212
38;-131;-298
152;54;10
-251;229;694
-535;68;-40
-251;82;-250
227;-142;374
112;-359;-249
-230;-463;-836
-152;-257;-54
-303;12;408
-228;180;-47
123;176;-417
34;164;159
-293;-51;119
-285;-56;110
144;-220;-482
40;-315;-198
-420;-242;-165
-400;185;354
133;369;310
302;377;-197
-33;210;75
-297;-136;-191
-396;-126;-238
-103;241;9
-184;340;-158
-397;467;36
42;352;28
-15;449;440
-235;145;-282
-448;101;-56
59;78;206
106;2;1
-9;-160;-270
-387;-238;218
-213;-347;307
305;-588;-493
299;-668;-451
-37;-346;215
186;70;542
567;-147;-348
113;-533;-455
232;-667;103
293;-874;-166
201;-719;-485
359;-375;-553
52;-213;-233
-151;139;354
63;172;-309
155;287;-235
-54;486;619
-76;151;-331
167;18;-257
317;-196;-257
706;-117;-100
367;-12;-55
114;339;-132
358;609;-346
-132;222;-322
-10;381;0
140;157;391
-236;-41;372
506;138;-627
-200;191;853
1639;231;-1233
2062;-33;-2826
-1105;-663;2204
-746;26;480
-755;169;-759
-557;62;653
681;823;312
-169;-135;-596
937;547;-709
-602;-341;1039
-466;405;-41
-220;1069;-824
-175;-249;394
-626;-202;806
125;-26;-1624
-73;-366;953
542;-203;-168
318;113;-785
-792;22;1373
-95;104;-1431
724;577;-2177
759;-323;151
1;-483;215
337;-525;-1383
-133;-382;-92
127;24;314
-205;553;198
-54;19;-1131
4;339;-79
446;-452;-151
600;1024;-1574
-760;-947;1527
-21;431;418
-696;494;-213
-617;-238;656
108;31;-152
-203;127;-153
181;-442;-352
148;-237;38
-102;316;-356
-715;85;124
-349;-228;-218
-512;-86;338
-142;-846;-937
60;-1102;48
-1089;-836;-2125
-69;-1403;-2768
281;-385;-908
321;-67;813
290;29;188
317;-413;-763
12;-462;-661
-287;130;-114
-285;-97;-349
-831;329;-234
-985;101;-973
-1838;-976;1520
-1912;-1033;528
-1639;-559;-349
-1428;-729;494
-906;-796;-98
-459;-391;-247
-268;131;174
-222;284;-327
-154;302;-563
-114;-56;255
