time;gFx;gFy;gFz;TgF
22:39:31:0220;0,0610;0,6182;0,8161;1,027
22:39:31:0270;0,0607;0,6197;0,8103;1,023
22:39:31:0290;0,0557;0,6184;0,8058;1,019
22:39:31:0340;0,0486;0,6194;0,8045;1,018
22:39:31:0380;0,0499;0,6202;0,7965;1,012
22:39:31:0630;0,0543;0,6191;0,7887;1,006
22:39:31:0670;0,0558;0,6182;0,7876;1,004
22:39:31:0700;0,0596;0,6150;0,7931;1,007
22:39:31:0740;0,0673;0,6147;0,7860;1,001
22:39:31:0780;0,0636;0,6135;0,7823;0,997
22:39:31:0890;0,0623;0,6125;0,7882;1,001
22:39:31:0920;0,0673;0,6049;0,7965;1,004
22:39:31:0960;0,0744;0,6071;0,8101;1,016
22:39:31:0990;0,0719;0,6063;0,8089;1,014
22:39:31:1020;0,0606;0,6094;0,8068;1,014
22:39:31:1040;0,0640;0,6108;0,8104;1,018
22:39:31:1080;0,0614;0,6059;0,8133;1,017
22:39:31:1130;0,0629;0,6079;0,8085;1,015
22:39:31:1170;0,0667;0,6109;0,8099;1,018
22:39:31:1190;0,0664;0,6123;0,8180;1,025
22:39:31:1220;0,0635;0,6121;0,8207;1,027
22:39:31:1250;0,0643;0,6090;0,8194;1,024
22:39:31:1280;0,0671;0,6106;0,8129;1,020
22:39:31:1450;0,0653;0,6131;0,8053;1,015
22:39:31:1480;0,0680;0,6180;0,7915;1,008
22:39:31:1510;0,0646;0,6142;0,7863;1,001
22:39:31:1540;0,0734;0,6078;0,7812;0,994
22:39:31:1570;0,0813;0,6102;0,7709;0,987
22:39:31:1600;0,0800;0,6171;0,7658;0,988
22:39:31:1640;0,0758;0,6259;0,7710;0,997
22:39:31:1730;0,0671;0,6303;0,7738;1,002
22:39:31:1770;0,0728;0,6436;0,7837;1,018
22:39:31:1790;0,0759;0,6408;0,7875;1,019
22:39:31:1900;0,0661;0,6367;0,8025;1,028
22:39:31:1940;0,0675;0,6414;0,8053;1,033
22:39:31:1960;0,0744;0,6348;0,8072;1,031
22:39:31:1990;0,0774;0,6303;0,8110;1,031
22:39:31:2030;0,0818;0,6299;0,8139;1,033
22:39:31:2120;0,0788;0,6345;0,7930;1,020
22:39:31:2150;0,0817;0,6329;0,7951;1,021
22:39:31:2220;0,0742;0,6326;0,7912;1,017
22:39:31:2250;0,0731;0,6291;0,7742;1,001
22:39:31:2280;0,0827;0,6331;0,7703;1,002
22:39:31:2390;0,0926;0,6293;0,7648;0,996
22:39:31:2430;0,0948;0,6137;0,7618;0,984
22:39:31:2470;0,0993;0,5955;0,7697;0,979
22:39:31:2490;0,1086;0,5832;0,7774;0,978
22:39:31:2540;0,1162;0,5741;0,8011;0,992
22:39:31:2750;0,1103;0,5689;0,8051;0,992
22:39:31:2800;0,1169;0,5692;0,8161;1,002
22:39:31:2830;0,1312;0,5809;0,8556;1,042
22:39:31:2850;0,0563;0,5600;0,8318;1,005
22:39:31:2870;0,0261;0,5737;0,8308;1,012
22:39:31:2890;0,0361;0,5895;0,8365;1,026
22:39:31:2920;0,0764;0,6108;0,8733;1,069
22:39:31:2960;0,0741;0,6097;0,8813;1,075
22:39:31:3000;0,0461;0,5918;0,8600;1,046
22:39:31:3040;0,0473;0,5919;0,8271;1,019
22:39:31:3130;0,0600;0,5956;0,8008;1,001
22:39:31:3170;0,0596;0,5969;0,7745;0,981
22:39:31:3200;0,0650;0,6009;0,7595;0,972
22:39:31:3240;0,0780;0,5994;0,7468;0,962
22:39:31:3410;0,0784;0,5860;0,7558;0,960
22:39:31:3470;0,0681;0,5729;0,7628;0,957
22:39:31:3500;0,0972;0,5734;0,7955;0,986
22:39:31:3520;0,1177;0,5678;0,8235;1,007
22:39:31:3550;0,1514;0,5711;0,8596;1,042
22:39:31:3570;0,1941;0,5912;0,8928;1,087
22:39:31:3610;0,1203;0,5458;0,8820;1,044
22:39:31:3650;0,0929;0,5451;0,8668;1,028
22:39:31:3700;0,0592;0,5705;0,8652;1,039
22:39:31:3770;0,0252;0,5907;0,8773;1,060
22:39:31:3800;0,0052;0,6009;0,8918;1,077
22:39:31:3850;-0,0083;0,6094;0,9097;1,097
22:39:31:3940;-0,0322;0,6023;0,8927;1,080
22:39:31:3990;0,0067;0,6082;0,9146;1,100
22:39:31:4040;0,0433;0,5921;0,9530;1,124
22:39:31:4090;0,0315;0,5586;0,9191;1,077
22:39:31:4150;0,0087;0,5269;0,8580;1,008
22:39:31:4190;0,0100;0,5357;0,8133;0,976
22:39:31:4230;0,0147;0,5630;0,8000;0,980
22:39:31:4260;0,0139;0,5804;0,8100;0,999
22:39:31:4300;0,0152;0,5880;0,8153;1,007
22:39:31:4450;0,0128;0,5907;0,8063;1,002
22:39:31:4500;0,0038;0,5947;0,8147;1,011
22:39:31:4530;-0,0176;0,5934;0,8379;1,029
22:39:31:4570;-0,0216;0,5834;0,8483;1,032
22:39:31:4600;-0,0203;0,5723;0,8514;1,028
22:39:31:4640;-0,0295;0,5732;0,8591;1,036
22:39:31:4670;-0,0400;0,5777;0,8651;1,044
22:39:31:4700;-0,0338;0,5786;0,8617;1,041
22:39:31:4760;-0,0085;0,5857;0,8527;1,037
22:39:31:4810;-0,0015;0,5870;0,8406;1,027
22:39:31:4840;-0,0110;0,5801;0,8108;0,999
22:39:31:4890;-0,0202;0,5799;0,7796;0,975
22:39:31:5120;-0,0261;0,5838;0,7612;0,963
22:39:31:5170;-0,0199;0,5943;0,7617;0,969
22:39:31:5200;-0,0109;0,5940;0,7651;0,971
22:39:31:5230;-0,0060;0,5889;0,7631;0,967
22:39:31:5260;-0,0052;0,5824;0,7598;0,960
22:39:31:5300;-0,0060;0,5780;0,7628;0,960
22:39:31:5320;-0,0058;0,5833;0,7667;0,966
22:39:31:5350;0,0011;0,5824;0,7693;0,967
22:39:31:5380;0,0011;0,5756;0,7734;0,966
22:39:31:5400;-0,0152;0,5856;0,7854;0,982
22:39:31:5460;-0,0185;0,5971;0,8166;1,014
22:39:31:5510;-0,0157;0,5999;0,8283;1,025
22:39:31:5560;-0,0240;0,5953;0,8260;1,021
22:39:31:5610;-0,0360;0,5999;0,8260;1,024
22:39:31:5670;-0,0444;0,6097;0,8415;1,043
22:39:31:5720;-0,0528;0,6233;0,8473;1,057
22:39:31:5750;-0,0568;0,6306;0,8477;1,061
22:39:31:5870;-0,0642;0,6449;0,8558;1,077
22:39:31:5920;-0,0717;0,6604;0,8585;1,089
22:39:31:5950;-0,0650;0,6592;0,8531;1,084
22:39:31:5980;-0,0516;0,6485;0,8445;1,069
22:39:31:6020;-0,0427;0,6381;0,8424;1,061
22:39:31:6070;-0,0358;0,6331;0,8458;1,060
22:39:31:6110;-0,0364;0,6228;0,8429;1,052
22:39:31:6230;-0,0290;0,6213;0,8378;1,046
22:39:31:6300;-0,0335;0,6224;0,8390;1,048
22:39:31:6340;-0,0333;0,6297;0,8500;1,061
22:39:31:6380;-0,0391;0,6309;0,8525;1,064
22:39:31:6410;-0,0433;0,6293;0,8520;1,063
22:39:31:6460;-0,0424;0,6247;0,8534;1,062
22:39:31:6510;-0,0424;0,6180;0,8505;1,055
22:39:31:6550;-0,0294;0,6115;0,8474;1,048
22:39:31:6580;-0,0250;0,5978;0,8392;1,033
22:39:31:6630;-0,0170;0,5931;0,8318;1,024
22:39:31:6670;-0,0136;0,5805;0,8269;1,013
22:39:31:6710;-0,0061;0,5757;0,8251;1,008
22:39:31:6810;-0,0024;0,5727;0,8226;1,005
22:39:31:6860;0,0009;0,5747;0,8266;1,009
22:39:31:6890;-0,0009;0,5749;0,8308;1,012
22:39:31:6920;-0,0067;0,5753;0,8351;1,016
22:39:31:6970;-0,0074;0,5783;0,8364;1,019
22:39:31:7120;-0,0103;0,5821;0,8467;1,030
22:39:31:7170;-0,0069;0,5843;0,8523;1,036
22:39:31:7190;-0,0042;0,5890;0,8533;1,039
22:39:31:7230;0,0018;0,5905;0,8488;1,036
22:39:31:7260;0,0100;0,5903;0,8576;1,043
22:39:31:7290;0,0104;0,5815;0,8651;1,044
22:39:31:7320;0,0084;0,5799;0,8616;1,041
22:39:31:7370;0,0075;0,5872;0,8545;1,039
22:39:31:7420;0,0017;0,5948;0,8473;1,037
22:39:31:7490;-0,0002;0,5961;0,8406;1,033
22:39:31:7530;0,0037;0,5933;0,8378;1,029
22:39:31:7560;0,0051;0,5900;0,8375;1,027
22:39:31:7620;0,0031;0,5844;0,8331;1,020
22:39:31:7720;0,0049;0,5743;0,8296;1,011
22:39:31:7780;0,0061;0,5610;0,8365;1,009
22:39:31:7810;0,0118;0,5542;0,8390;1,007
22:39:31:7830;0,0139;0,5523;0,8367;1,004
22:39:31:7880;0,0089;0,5471;0,8365;1,001
22:39:31:7930;-0,0009;0,5438;0,8447;1,006
22:39:31:7990;-0,0075;0,5465;0,8439;1,007
22:39:31:8030;-0,0075;0,5540;0,8386;1,007
22:39:31:8070;-0,0114;0,5571;0,8327;1,004
22:39:31:8120;-0,0149;0,5598;0,8329;1,006
22:39:31:8170;-0,0179;0,5627;0,8249;1,001
22:39:31:8220;-0,0195;0,5732;0,8201;1,003
22:39:31:8270;-0,0181;0,5801;0,8157;1,004
22:39:31:8330;-0,0119;0,5798;0,8151;1,003
22:39:31:8370;-0,0123;0,5799;0,8120;1,000
22:39:31:8420;-0,0141;0,5786;0,8175;1,004
22:39:31:8520;-0,0082;0,5712;0,8227;1,004
22:39:31:8570;-0,0019;0,5658;0,8187;0,997
22:39:31:8610;0,0030;0,5622;0,8190;0,995
22:39:31:8660;0,0077;0,5622;0,8207;0,997
22:39:31:8680;0,0102;0,5606;0,8243;0,999
22:39:31:8840;0,0091;0,5613;0,8235;0,999
22:39:31:8890;0,0087;0,5662;0,8211;0,999
22:39:31:8930;0,0083;0,5725;0,8186;1,001
22:39:31:8960;0,0089;0,5762;0,8168;1,002
22:39:31:8990;0,0104;0,5781;0,8147;1,001
22:39:31:9020;0,0157;0,5805;0,8193;1,006
22:39:31:9040;0,0176;0,5799;0,8193;1,006
22:39:31:9070;0,0195;0,5803;0,8154;1,003
22:39:31:9130;0,0187;0,5813;0,8092;0,998
22:39:31:9180;0,0188;0,5835;0,8039;0,995
22:39:31:9230;0,0190;0,5859;0,8060;0,999
22:39:31:9280;0,0164;0,5894;0,8062;1,001
22:39:31:9340;0,0111;0,5923;0,8088;1,005
22:39:31:9390;0,0053;0,5950;0,8188;1,014
22:39:31:9430;0,0056;0,5935;0,8295;1,022
22:39:31:9480;0,0077;0,5890;0,8351;1,024
22:39:31:9570;0,0086;0,5831;0,8409;1,025
22:39:31:9620;0,0083;0,5797;0,8396;1,022
22:39:31:9650;0,0089;0,5794;0,8356;1,019
22:39:31:9680;0,0122;0,5809;0,8327;1,017
22:39:31:9820;0,0166;0,5842;0,8255;1,013
22:39:31:9890;0,0159;0,5833;0,8180;1,007
22:39:31:9920;0,0130;0,5794;0,8177;1,004
22:39:31:9950;0,0105;0,5804;0,8263;1,012
22:39:31:9990;0,0085;0,5817;0,8404;1,024
22:39:32:0020;0,0048;0,5822;0,8481;1,031
22:39:32:0040;0,0049;0,5840;0,8525;1,035
22:39:32:0090;0,0057;0,5836;0,8657;1,046
22:39:32:0140;0,0092;0,5835;0,8689;1,049
22:39:32:0200;0,0083;0,5815;0,8598;1,040
22:39:32:0240;0,0099;0,5799;0,8509;1,032
22:39:32:0280;0,0118;0,5794;0,8451;1,027
22:39:32:0340;0,0163;0,5791;0,8408;1,023
22:39:32:0380;0,0254;0,5782;0,8472;1,028
22:39:32:0430;0,0320;0,5765;0,8541;1,032
22:39:32:0620;0,0337;0,5741;0,8674;1,042
22:39:32:0670;0,0292;0,5714;0,8782;1,049
22:39:32:0700;0,0255;0,5651;0,8917;1,057
22:39:32:0740;0,0224;0,5585;0,9025;1,063
22:39:32:0780;0,0197;0,5563;0,9114;1,069
22:39:32:0820;0,0199;0,5545;0,9115;1,068
22:39:32:0870;0,0169;0,5534;0,9031;1,061
22:39:32:0890;0,0201;0,5503;0,8869;1,045
22:39:32:0920;0,0262;0,5473;0,8754;1,034
22:39:32:0940;0,0345;0,5460;0,8688;1,028
22:39:32:0990;0,0388;0,5482;0,8692;1,029
22:39:32:1040;0,0343;0,5480;0,8645;1,025
22:39:32:1090;0,0348;0,5441;0,8547;1,015
22:39:32:1140;0,0402;0,5403;0,8489;1,008
22:39:32:1190;0,0414;0,5381;0,8419;1,001
22:39:32:1230;0,0420;0,5368;0,8347;0,994
22:39:32:1280;0,0410;0,5416;0,8312;0,994
22:39:32:1340;0,0416;0,5462;0,8329;0,998
22:39:32:1380;0,0444;0,5528;0,8340;1,003
22:39:32:1430;0,0442;0,5608;0,8204;0,996
22:39:32:1510;0,0337;0,5613;0,8091;0,987
22:39:32:1560;0,0338;0,5576;0,8111;0,986
22:39:32:1590;0,0313;0,5609;0,8169;0,993
22:39:32:1640;0,0212;0,5701;0,8142;0,996
22:39:32:1770;0,0102;0,5741;0,8181;1,001
22:39:32:1810;0,0041;0,5777;0,8094;0,997
22:39:32:1840;-0,0016;0,5851;0,8072;0,999
22:39:32:1870;-0,0044;0,5830;0,8062;0,997
22:39:32:1900;0,0086;0,5857;0,8163;1,007
22:39:32:1940;0,0083;0,5868;0,8231;1,013
22:39:32:1990;0,0016;0,5824;0,8235;1,011
22:39:32:2040;0,0009;0,5766;0,8205;1,005
22:39:32:2090;0,0024;0,5697;0,8053;0,989
22:39:32:2140;0,0226;0,5605;0,7926;0,973
22:39:32:2200;0,0202;0,5603;0,8062;0,984
22:39:32:2240;0,0206;0,5675;0,7964;0,980
22:39:32:2290;0,0256;0,5695;0,7855;0,972
22:39:32:2370;0,0196;0,5746;0,7827;0,973
22:39:32:2410;0,0193;0,5758;0,7682;0,962
22:39:32:2450;0,0171;0,5810;0,7830;0,977
22:39:32:2540;0,0234;0,5895;0,8151;1,008
22:39:32:2590;0,0130;0,5800;0,8271;1,012
22:39:32:2620;0,0066;0,5793;0,8456;1,027
22:39:32:2660;-0,0053;0,5829;0,8532;1,035
22:39:32:2790;-0,0060;0,5840;0,8509;1,034
22:39:32:2840;0,0015;0,5910;0,8403;1,029
22:39:32:2860;0,0059;0,5909;0,8259;1,018
22:39:32:2900;-0,0121;0,5901;0,8332;1,024
22:39:32:2930;-0,0187;0,5863;0,8453;1,031
22:39:32:2970;-0,0237;0,5793;0,8356;1,020
22:39:32:3000;-0,0326;0,5757;0,8270;1,011
22:39:32:3060;-0,0325;0,5802;0,8385;1,023
22:39:32:3110;-0,0243;0,5804;0,8535;1,035
22:39:32:3150;-0,0193;0,5689;0,8514;1,027
22:39:32:3200;-0,0216;0,5569;0,8512;1,020
22:39:32:3250;-0,0172;0,5559;0,8636;1,029
22:39:32:3300;-0,0209;0,5554;0,8667;1,032
22:39:32:3370;-0,0260;0,5515;0,8866;1,047
22:39:32:3410;-0,0350;0,5391;0,9078;1,059
22:39:32:3450;-0,0403;0,5269;0,9338;1,075
22:39:32:3570;-0,0482;0,5209;0,9484;1,085
22:39:32:3640;-0,0649;0,5223;0,9434;1,083
22:39:32:3700;-0,0820;0,5342;0,9431;1,090
22:39:32:3720;-0,1039;0,5445;0,9634;1,115
22:39:32:3750;-0,0980;0,5558;0,9687;1,124
22:39:32:3770;-0,0646;0,5905;0,9589;1,131
22:39:32:3940;-0,0472;0,6141;0,9233;1,113
22:39:32:4000;-0,0674;0,6044;0,8861;1,078
22:39:32:4050;-0,0943;0,5938;0,8803;1,070
22:39:32:4080;-0,1138;0,5876;0,8787;1,067
22:39:32:4120;-0,1415;0,5677;0,9050;1,082
22:39:32:4150;-0,1338;0,5672;0,9162;1,090
22:39:32:4190;-0,1103;0,5855;0,9142;1,095
22:39:32:4220;-0,0835;0,6167;0,8867;1,087
22:39:32:4250;-0,0743;0,6372;0,8640;1,080
22:39:32:4280;-0,0444;0,6400;0,8194;1,044
22:39:32:4300;-0,0146;0,6424;0,7941;1,024
22:39:32:4360;-0,0271;0,6248;0,7739;0,998
22:39:32:4410;-0,0300;0,5984;0,7574;0,969
22:39:32:4460;-0,0342;0,5588;0,7579;0,945
22:39:32:4510;-0,0364;0,5337;0,7508;0,925
22:39:32:4570;-0,0224;0,5066;0,7648;0,920
22:39:32:4610;-0,0172;0,4894;0,7826;0,925
22:39:32:4660;0,0033;0,4853;0,7778;0,919
22:39:32:4780;-0,0014;0,4795;0,7884;0,925
22:39:32:4830;-0,0369;0,4746;0,8118;0,943
22:39:32:4870;-0,0599;0,4840;0,8336;0,969
22:39:32:4900;-0,0756;0,4895;0,8524;0,989
22:39:32:4930;-0,0557;0,4966;0,8740;1,009
22:39:32:4960;-0,0489;0,4982;0,8855;1,020
22:39:32:5020;-0,0687;0,4985;0,8813;1,018
22:39:32:5060;-0,0778;0,5014;0,8745;1,014
22:39:32:5110;-0,0981;0,4914;0,8704;1,008
22:39:32:5160;-0,0904;0,4893;0,8525;0,990
22:39:32:5210;-0,0808;0,4831;0,8458;0,981
22:39:32:5260;-0,0540;0,4778;0,8514;0,980
22:39:32:5310;-0,0191;0,4755;0,8514;0,977
22:39:32:5370;0,0296;0,4583;0,8387;0,957
22:39:32:5410;0,0827;0,4295;0,8015;0,913
22:39:32:5460;0,1171;0,4150;0,7460;0,860
22:39:32:5530;0,1081;0,3839;0,7355;0,835
22:39:32:5580;0,0860;0,3555;0,7367;0,821
22:39:32:5610;0,0649;0,3404;0,7301;0,808
22:39:32:5670;0,0202;0,3291;0,7063;0,780
22:39:32:5790;-0,0048;0,3310;0,6648;0,744
22:39:32:5830;0,0086;0,3475;0,6328;0,723
22:39:32:5870;0,0652;0,3811;0,6628;0,767
22:39:32:5900;0,1240;0,4026;0,7245;0,837
22:39:32:5930;0,1629;0,4316;0,7834;0,907
22:39:32:5970;0,1744;0,4528;0,8489;0,975
22:39:32:6060;0,1511;0,4696;0,9034;1,028
22:39:32:6100;0,1059;0,4885;0,9238;1,050
22:39:32:6130;0,0783;0,5040;0,9321;1,062
22:39:32:6170;0,0764;0,5091;0,9264;1,060
22:39:32:6220;0,0952;0,5138;0,9233;1,061
22:39:32:6270;0,1218;0,5088;0,9208;1,058
22:39:32:6320;0,1535;0,4901;0,9114;1,045
22:39:32:6380;0,1708;0,4481;0,9114;1,028
22:39:32:6420;0,1911;0,3901;0,9487;1,040
22:39:32:6470;0,2107;0,3287;0,9994;1,069
22:39:32:6540;0,2271;0,2795;1,0084;1,066
22:39:32:6580;0,2375;0,2546;0,9628;1,019
22:39:32:6620;0,2507;0,2439;0,8778;0,939
22:39:32:6670;0,2605;0,2382;0,7933;0,862
22:39:32:6790;0,2631;0,2338;0,7392;0,812
22:39:32:6830;0,2475;0,2282;0,7304;0,798
22:39:32:6870;0,2191;0,2194;0,7535;0,809
22:39:32:6910;0,1647;0,2120;0,7783;0,819
22:39:32:6930;0,1042;0,2099;0,7795;0,811
22:39:32:6980;0,0681;0,2145;0,7874;0,817
22:39:32:7030;0,0659;0,2211;0,8329;0,862
22:39:32:7100;0,0957;0,2332;0,8934;0,926
22:39:32:7140;0,1566;0,2510;0,9823;1,022
22:39:32:7180;0,2346;0,2786;1,0417;1,099
22:39:32:7240;0,3003;0,3199;1,0604;1,142
22:39:32:7280;0,3259;0,3584;1,0518;1,152
22:39:32:7320;0,3049;0,3656;1,0360;1,135
22:39:32:7390;0,2648;0,3452;1,0135;1,098
22:39:32:7440;0,2217;0,3130;0,9858;1,054
22:39:32:7480;0,1867;0,2865;0,9798;1,034
22:39:32:7530;0,1524;0,2606;1,0089;1,050
22:39:32:7690;0,1177;0,2463;0,9950;1,029
22:39:32:7720;0,0709;0,2527;0,9213;0,956
22:39:32:7750;0,0221;0,2737;0,8351;0,879
22:39:32:7780;-0,0240;0,2975;0,7841;0,840
22:39:32:7800;-0,0621;0,3122;0,7710;0,836
22:39:32:7830;-0,0819;0,3240;0,7634;0,836
22:39:32:7890;-0,0852;0,3294;0,7613;0,837
22:39:32:7930;-0,0782;0,3280;0,7722;0,845
22:39:32:7980;-0,0613;0,3136;0,7727;0,838
22:39:32:8050;-0,0326;0,2837;0,7590;0,812
22:39:32:8100;0,0109;0,2516;0,7410;0,782
22:39:32:8160;0,0540;0,2170;0,7381;0,770
22:39:32:8210;0,0824;0,1814;0,7341;0,758
22:39:32:8240;0,0863;0,1472;0,7421;0,758
22:39:32:8280;0,0853;0,1258;0,7361;0,748
22:39:32:8340;0,0700;0,1082;0,7345;0,743
22:39:32:8380;0,0371;0,0906;0,7631;0,767
22:39:32:8450;-0,0078;0,0723;0,8077;0,810
22:39:32:8490;-0,0568;0,0525;0,8278;0,831
22:39:32:8540;-0,1117;0,0366;0,8110;0,820
22:39:32:8670;-0,1734;-0,0132;0,7502;0,772
22:39:32:8730;-0,2154;-0,0586;0,7011;0,739
22:39:32:8760;-0,2497;-0,0972;0,6672;0,723
22:39:32:8800;-0,2813;-0,1093;0,6557;0,727
22:39:32:8840;-0,3054;-0,0821;0,6735;0,750
22:39:32:8880;-0,3217;-0,0377;0,6982;0,776
22:39:32:8900;-0,3331;-0,0016;0,7462;0,823
22:39:32:8930;-0,3585;0,0178;0,7885;0,873
22:39:32:8980;-0,3949;0,0159;0,8423;0,937
22:39:32:9090;-0,4144;0,0005;0,9224;1,017
22:39:32:9130;-0,4230;-0,0060;0,9534;1,049
22:39:32:9150;-0,4198;-0,0021;0,9266;1,023
22:39:32:9200;-0,4049;0,0001;0,8830;0,978
22:39:32:9260;-0,3619;0,0032;0,8752;0,953
22:39:32:9300;-0,2900;0,0229;0,8946;0,945
22:39:32:9330;-0,2056;0,0522;0,9149;0,942
22:39:32:9400;-0,0973;0,0931;0,9405;0,951
22:39:32:9440;0,0031;0,1432;0,9732;0,982
22:39:32:9490;0,0683;0,1963;1,0164;1,035
22:39:32:9640;0,0882;0,2413;1,0436;1,072
22:39:32:9720;0,0498;0,2623;1,0722;1,104
22:39:32:9760;-0,0314;0,2368;1,1088;1,134
22:39:32:9800;-0,1113;0,1910;1,1265;1,149
22:39:32:9840;-0,1553;0,1537;1,1062;1,129
22:39:32:9890;-0,2008;0,1352;1,0932;1,122
22:39:32:9920;-0,2391;0,1288;1,1416;1,176
22:39:32:9960;-0,2751;0,1382;1,1626;1,206
22:39:32:9990;-0,3268;0,1709;1,1176;1,181
22:39:33:0020;-0,3771;0,2294;1,0562;1,151
22:39:33:0050;-0,4173;0,2800;1,0446;1,166
22:39:33:0140;-0,4335;0,3088;1,0670;1,199
22:39:33:0200;-0,4427;0,3184;1,0903;1,226
22:39:33:0250;-0,4357;0,3133;1,1129;1,242
22:39:33:0290;-0,4078;0,3088;1,1099;1,228
22:39:33:0330;-0,3564;0,2967;1,0874;1,188
22:39:33:0360;-0,2911;0,2699;1,0439;1,122
22:39:33:0400;-0,2245;0,2500;1,0226;1,080
22:39:33:0460;-0,1499;0,2387;0,9976;1,039
22:39:33:0510;-0,0723;0,2418;0,9919;1,024
22:39:33:0550;-0,0067;0,2612;1,0211;1,054
22:39:33:0620;0,0257;0,2661;1,0862;1,118
22:39:33:0680;0,0013;0,2523;1,1199;1,147
22:39:33:0710;-0,0640;0,2353;1,0854;1,113
22:39:33:0740;-0,1226;0,2444;1,0360;1,073
22:39:33:0870;-0,1626;0,2843;1,0733;1,125
22:39:33:0920;-0,1786;0,3460;1,1239;1,192
22:39:33:0960;-0,1908;0,4039;1,1379;1,226
22:39:33:1000;-0,2053;0,4439;1,1259;1,231
22:39:33:1030;-0,2159;0,4618;1,1270;1,241
22:39:33:1070;-0,2217;0,4587;1,1400;1,253
22:39:33:1100;-0,2225;0,4520;1,1609;1,269
22:39:33:1150;-0,2259;0,4539;1,1616;1,271
22:39:33:1200;-0,2446;0,4665;1,1277;1,249
22:39:33:1260;-0,2824;0,4757;1,1025;1,239
22:39:33:1310;-0,3039;0,4871;1,1037;1,250
22:39:33:1350;-0,2991;0,4985;1,1166;1,264
22:39:33:1420;-0,2738;0,5079;1,1055;1,252
22:39:33:1470;-0,2335;0,5159;1,0800;1,224
22:39:33:1500;-0,1835;0,5191;1,0765;1,213
22:39:33:1640;-0,1174;0,5127;1,0801;1,204
22:39:33:1710;-0,0722;0,5071;1,0798;1,197
22:39:33:1750;-0,0286;0,5037;1,1214;1,231
22:39:33:1780;0,0515;0,4982;1,3154;1,407
22:39:33:1810;0,0419;0,5322;1,4818;1,575
22:39:33:1840;-0,0462;0,5931;1,4938;1,609
22:39:33:1860;-0,1861;0,6643;1,3663;1,534
22:39:33:1920;-0,3005;0,7166;1,2889;1,510
22:39:33:1970;-0,3677;0,7290;1,2631;1,510
22:39:33:2010;-0,3533;0,6891;1,2288;1,459
22:39:33:2050;-0,2820;0,6215;1,1254;1,322
22:39:33:2100;-0,2059;0,5949;1,0229;1,206
22:39:33:2150;-0,1370;0,5987;0,9892;1,168
22:39:33:2200;-0,0446;0,6156;1,0159;1,191
22:39:33:2260;0,0373;0,6286;1,0551;1,230
22:39:33:2300;0,1068;0,6289;1,1134;1,283
22:39:33:2350;0,1761;0,6245;1,1706;1,337
22:39:33:2420;0,1961;0,6363;1,1718;1,346
22:39:33:2460;0,1847;0,6587;1,1667;1,351
22:39:33:2510;0,1692;0,6640;1,1410;1,330
22:39:33:2560;0,1400;0,6403;1,1203;1,297
22:39:33:2620;0,1426;0,5950;1,1187;1,274
22:39:33:2670;0,1533;0,5346;1,0981;1,229
